종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
042510,라온시큐어,"2,855","-25","0.87","2,855","2,850","179,136","513,229,990","2,875","2,950","2,815","500",원(KRW),"31,809,612","90,816,442,260",
050120,라이브플렉스,"1,850","30","0.00","1,865","1,850","96,301","178,047,485","1,885","1,885","1,825","500",원(KRW),"41,621,527","76,999,824,950",
171120,라이온켐텍,"18,100","50","0.28","18,100","18,050","41,727","756,530,500","17,850","18,450","17,850","500",원(KRW),"15,386,005","278,486,690,500",
171010,램테크놀러지,"3,485","-115","3.19","3,505","3,485","40,139","141,653,965","3,600","3,640","3,480","500",원(KRW),"11,382,966","39,669,636,510",
084650,랩지노믹스,"11,250","-250","2.17","11,300","11,250","54,664","621,698,600","11,400","11,700","11,200","500",원(KRW),"8,533,599","96,002,988,750",
141080,레고켐바이오,"31,850","-1,650","4.93","31,850","31,800","54,095","1,744,390,900","33,100","33,150","31,650","500",원(KRW),"9,941,207","316,627,442,950",
060300,레드로버,"5,880","-150","2.49","5,900","5,880","128,964","767,045,400","6,010","6,080","5,880","500",원(KRW),"42,619,128","250,600,472,640",
038390,레드캡투어,"18,200","50","0.28","18,250","18,200","6,658","121,131,200","18,150","18,250","18,000","500",원(KRW),"8,589,480","156,328,536,000",
228850,레이언스,"17,700","50","0.28","17,750","17,700","46,702","819,268,800","17,400","17,950","17,300","500",원(KRW),"16,591,014","293,660,947,800",
047440,레이젠,"2,620","40","1.55","2,620","2,615","134,848","350,599,710","2,595","2,640","2,540","500",원(KRW),"16,618,129","43,539,497,980",
090360,로보스타,"13,700","-250","1.79","13,750","13,700","489,727","6,645,525,350","13,800","13,900","13,200","500",원(KRW),"7,800,000","106,860,000,000",
900260,로스웰,"2,995","-80","2.60","2,995","2,990","694,935","2,091,199,030","3,060","3,090","2,980","0",중국위안(CNY),"90,781,250","271,889,843,750",
016170,로엔,"68,200","200","0.29","68,200","68,000","14,053","957,561,400","67,500","68,500","66,500","500",원(KRW),"25,291,705","1,724,894,281,000",
067730,로지시스,"5,330","-230","4.14","5,330","5,300","324,454","1,739,233,730","5,560","5,560","5,230","500",원(KRW),"9,340,922","49,787,114,260",
071280,로체시스템즈,"10,800","-450","4.00","10,850","10,800","118,860","1,301,425,400","11,200","11,350","10,750","500",원(KRW),"8,224,402","88,823,541,600",
109960,로코조이,"4,630","-95","2.01","4,660","4,630","114,019","519,982,265","4,725","4,725","4,440","500",원(KRW),"19,709,835","91,256,536,050",
038060,루멘스,"4,065","-130","3.10","4,070","4,065","165,967","681,536,670","4,175","4,225","4,065","500",원(KRW),"47,276,784","192,180,126,960",
082800,루미마이크로,"1,210","-70","5.47","1,235","1,210","82,375","102,111,180","1,290","1,290","1,210","500",원(KRW),"37,937,500","45,904,375,000",
085370,루트로닉,"37,800","-50","0.13","37,800","37,750","77,868","2,987,319,700","37,650","39,300","37,450","500",원(KRW),"10,535,041","398,224,549,800",
060240,룽투코리아,"10,600","-150","1.40","10,600","10,550","31,623","334,209,100","10,650","10,900","10,450","500",원(KRW),"18,770,196","198,964,077,600",
042940,르네코,"2,595","25","0.97","2,595","2,585","147,007","370,422,550","2,610","2,635","2,450","500",원(KRW),"12,904,568","33,487,353,960",
058470,리노공업,"43,050","30","0.00","43,050","42,900","11,679","502,516,700","43,050","43,300","42,500","500",원(KRW),"15,242,370","656,184,028,500",
039980,리노스,"3,550","-20","0.56","3,550","3,545","207,067","728,868,125","3,570","3,575","3,480","500",원(KRW),"35,996,153","127,786,343,150",
